iter	Passed	Remaining
0	1	1682
1	3	1803
2	7	2449
3	10	2513
4	11	2289
5	14	2428
6	16	2312
7	18	2235
8	19	2175
9	21	2104
10	22	2050
11	24	2011
12	26	2002
13	29	2083
14	31	2055
15	32	2006
16	34	1977
17	35	1952
18	37	1941
19	39	1930
20	41	1912
21	43	1943
22	46	1962
23	47	1942
24	49	1929
25	51	1938
26	54	1962
27	56	1952
28	60	2014
29	64	2095
30	67	2110
31	69	2091
32	71	2085
33	73	2099
34	76	2101
35	78	2105
36	82	2142
37	84	2148
38	86	2135
39	89	2156
40	93	2179
41	96	2198
42	98	2187
43	100	2176
44	102	2173
45	107	2230
46	111	2259
47	114	2267
48	116	2257
49	121	2317
50	127	2368
51	129	2364
52	131	2349
53	133	2339
54	135	2328
55	139	2353
56	141	2348
57	144	2348
58	147	2352
59	149	2338
60	153	2360
61	157	2386
62	159	2373
63	161	2357
64	163	2344
65	166	2352
66	168	2348
67	172	2370
68	175	2367
69	179	2379
70	181	2377
71	184	2377
72	187	2378
73	189	2368
74	191	2364
75	193	2351
76	195	2343
77	199	2356
78	202	2355
79	204	2347
80	205	2335
81	208	2329
82	209	2309
83	211	2302
84	213	2297
85	216	2296
86	217	2284
87	220	2285
88	222	2280
89	224	2269
90	230	2304
91	232	2298
92	238	2321
93	240	2316
94	243	2317
95	246	2320
96	249	2318
97	250	2308
98	252	2298
99	254	2287
100	255	2274
101	258	2276
102	261	2276
103	263	2272
104	265	2265
105	268	2262
106	270	2258
107	274	2265
108	277	2269
109	280	2272
110	283	2274
111	286	2268
112	293	2306
113	297	2309
114	300	2314
115	306	2332
116	309	2335
117	311	2327
118	313	2317
119	314	2307
120	317	2306
121	320	2308
122	326	2326
123	328	2320
124	330	2313
125	333	2313
126	336	2315
127	339	2316
128	343	2318
129	345	2310
130	346	2300
131	349	2300
132	354	2309
133	356	2301
134	358	2294
135	360	2287
136	362	2281
137	365	2283
138	370	2292
139	373	2293
140	375	2289
141	377	2280
142	380	2279
143	385	2292
144	387	2284
145	389	2277
146	391	2270
147	395	2274
148	398	2273
149	400	2269
150	403	2268
151	405	2260
152	407	2254
153	409	2251
154	411	2245
155	413	2237
156	415	2232
157	417	2226
158	419	2220
159	422	2218
160	423	2208
161	426	2208
162	429	2203
163	431	2197
164	433	2193
165	437	2196
166	439	2189
167	442	2193
168	445	2190
169	448	2187
170	450	2183
171	452	2178
172	456	2180
173	459	2182
174	462	2178
175	464	2173
176	465	2166
177	469	2168
178	475	2181
179	478	2178
180	481	2179
181	484	2176
182	488	2182
183	492	2185
184	494	2180
185	496	2174
186	498	2169
187	504	2177
188	507	2176
189	509	2173
190	511	2168
191	513	2162
192	516	2158
193	518	2153
194	520	2148
195	522	2142
196	524	2136
197	525	2130
198	527	2124
199	529	2118
200	532	2114
201	537	2123
202	542	2129
203	544	2125
204	546	2118
205	548	2113
206	552	2114
207	553	2109
208	556	2105
209	558	2099
210	559	2093
211	562	2090
212	564	2085
213	566	2081
214	568	2077
215	571	2072
216	572	2067
217	574	2061
218	576	2055
219	578	2050
220	581	2051
221	584	2047
222	586	2042
223	589	2040
224	591	2036
225	593	2032
226	595	2027
227	597	2023
228	600	2021
229	602	2015
230	603	2009
231	605	2004
232	608	2002
233	610	1998
234	612	1993
235	614	1988
236	616	1983
237	617	1978
238	620	1974
239	622	1970
240	623	1964
241	627	1964
242	630	1963
243	632	1959
244	636	1959
245	637	1955
246	639	1950
247	642	1949
248	646	1950
249	648	1945
250	650	1941
251	652	1936
252	654	1933
253	658	1934
254	662	1936
255	665	1933
256	670	1938
257	674	1939
258	679	1944
259	684	1946
260	687	1946
261	695	1958
262	698	1956
263	699	1951
264	701	1945
265	703	1941
266	709	1948
267	712	1944
268	727	1976
269	729	1971
270	731	1967
271	732	1961
272	735	1957
273	743	1970
274	745	1964
275	746	1958
276	747	1951
277	749	1945
278	751	1941
279	752	1935
280	754	1929
281	756	1925
282	758	1920
283	759	1914
284	760	1908
285	762	1902
286	763	1897
287	766	1893
288	767	1889
289	770	1886
290	771	1880
291	774	1877
292	776	1873
293	777	1867
294	779	1862
295	781	1857
296	784	1855
297	786	1853
298	789	1850
299	792	1848
300	794	1844
301	796	1840
302	797	1835
303	799	1829
304	801	1825
305	804	1823
306	805	1818
307	807	1813
308	808	1808
309	810	1803
310	813	1801
311	815	1797
312	816	1792
313	818	1787
314	820	1783
315	822	1779
316	824	1775
317	826	1771
318	828	1769
319	830	1764
320	832	1760
321	833	1754
322	834	1749
323	836	1745
324	838	1741
325	839	1736
326	841	1731
327	843	1727
328	844	1722
329	846	1718
330	847	1713
331	849	1709
332	850	1704
333	852	1699
334	854	1695
335	855	1690
336	857	1686
337	859	1683
338	860	1678
339	862	1673
340	863	1668
341	865	1664
342	866	1659
343	867	1654
344	869	1649
345	870	1645
346	872	1641
347	874	1638
348	875	1633
349	877	1629
350	878	1625
351	880	1620
352	881	1616
353	883	1611
354	884	1607
355	886	1603
356	887	1598
357	889	1595
358	891	1592
359	893	1587
360	894	1583
361	895	1578
362	897	1574
363	898	1569
364	899	1565
365	900	1560
366	902	1556
367	904	1553
368	906	1549
369	907	1544
370	908	1540
371	909	1536
372	911	1531
373	912	1527
374	915	1526
375	917	1522
376	919	1519
377	920	1515
378	922	1511
379	924	1507
380	926	1504
381	927	1500
382	929	1496
383	930	1493
384	932	1489
385	934	1486
386	936	1483
387	938	1480
388	940	1476
389	941	1472
390	943	1469
391	944	1465
392	946	1461
393	947	1457
394	949	1454
395	952	1452
396	953	1448
397	955	1445
398	956	1441
399	958	1437
400	959	1433
401	961	1430
402	962	1426
403	964	1423
404	967	1420
405	968	1417
406	970	1413
407	971	1409
408	972	1405
409	974	1401
410	975	1398
411	976	1394
412	977	1389
413	979	1386
414	981	1383
415	982	1379
416	984	1376
417	985	1372
418	987	1368
419	988	1364
420	989	1360
421	990	1357
422	992	1353
423	993	1349
424	995	1347
425	997	1343
426	998	1340
427	1000	1336
428	1001	1333
429	1004	1331
430	1006	1328
431	1008	1325
432	1009	1321
433	1011	1319
434	1013	1316
435	1014	1312
436	1016	1309
437	1017	1305
438	1019	1302
439	1020	1298
440	1022	1296
441	1024	1292
442	1026	1290
443	1027	1287
444	1029	1283
445	1031	1280
446	1032	1277
447	1034	1274
448	1035	1271
449	1037	1267
450	1038	1264
451	1041	1262
452	1042	1259
453	1044	1255
454	1045	1252
455	1046	1248
456	1048	1245
457	1049	1242
458	1051	1239
459	1052	1235
460	1054	1232
461	1056	1229
462	1058	1227
463	1059	1224
464	1061	1221
465	1062	1217
466	1064	1214
467	1065	1211
468	1067	1208
469	1068	1204
470	1069	1201
471	1072	1199
